,symbol,Ltp,%change,open,High,Low,Qty,Pclose,diff
0,ACLBSL,990.00,0,990.00,990.00,981.00,"1,482",990.00,0
1,ADBL,296.60,-0.77,302.00,302.00,295.00,"24,934",298.90,-2.3
2,AHL,633.10,2.78,628.30,652.00,612.09,"27,721",616.00,17.1
3,AHPC,279.60,-0.5,280.30,282.50,279.60,"63,987",281.00,-1.4
4,AKJCL,186.00,-0.48,186.00,187.80,184.10,"46,839",186.90,-0.9
5,AKPL,242.00,-0.41,243.00,244.00,240.10,"65,655",243.00,-1
6,ALBSL,"1,055.00",-3.25,"1,090.00","1,100.00","1,021.70","32,235","1,090.41",-35.41
7,ALICL,460.00,0,451.00,469.00,451.00,"55,454",460.00,0
8,ANLB,"6,187.90",-0.03,"6,100.00","6,187.90","6,100.00",49,"6,189.90",-2
9,API,284.00,-0.39,285.30,288.70,282.50,"79,735",285.10,-1.1
10,AVYAN,964.00,-1.03,955.10,975.00,955.10,660,974.00,-10
11,BANDIPUR,782.50,-0.57,787.00,794.50,778.60,"99,982",787.00,-4.5
12,BARUN,329.90,0.89,329.00,340.00,323.50,"187,032",327.00,2.9
13,BBC,"4,879.90",0.41,"4,840.00","4,903.50","4,840.00",160,"4,860.00",19.9
14,BEDC,550.00,-0.22,546.00,557.00,540.20,"13,124",551.20,-1.2
15,BFC,483.90,-0.23,490.00,490.00,480.10,"26,559",485.00,-1.1
16,BGWT,778.00,1.7,765.00,780.00,765.00,"3,448",765.00,13
17,BHCL,528.00,4.16,506.00,535.00,501.50,"122,440",506.90,21.1
18,BHDC,484.00,-0.19,482.00,489.80,481.00,"24,074",484.90,-0.9
19,BHL,178.00,-0.5,177.30,180.00,176.40,"87,285",178.90,-0.9
20,BHPL,628.00,-1.41,626.30,644.00,626.30,"1,928",637.00,-9
21,BNHC,438.70,-0.07,430.40,439.50,430.40,"2,997",439.00,-0.3
22,BNL,"15,533.10",-2,"15,850.00","15,850.00","15,533.10",30,"15,850.00",-316.9
23,BNT,"11,946.20",-0.04,"12,190.00","12,190.00","11,946.20",185,"11,951.00",-4.8
24,BOKD86,"1,100.10",-1.34,"1,100.10","1,100.10","1,100.10",25,"1,115.00",-14.9
25,BPCL,704.00,-0.35,693.00,716.00,693.00,"60,693",706.50,-2.5
26,BUNGAL,600.00,-0.33,590.00,605.10,582.00,"52,224",602.00,-2
27,C30MF,9.15,0.44,9.15,9.15,9.15,400,9.11,0.04
28,CBBL,"1,001.00",0,"1,000.50","1,012.00",994.10,"30,309","1,001.00",0
29,CCBD88,"1,250.00",0,"1,250.00","1,250.00","1,250.00",25,"1,250.00",0
30,CFCL,482.20,-2.78,492.00,492.10,482.00,"15,684",496.00,-13.8
